"sentence","score"
"Công ty đã tài trợ thành công chương trình đào tạo nghề và kỹ năng sống cho thanh thiếu niên có hoàn cảnh đặc biệt.",0.92
"Báo cáo chi tiết về các biện pháp đảm bảo an toàn hóa chất và phòng chống cháy nổ cho công nhân chưa được công bố.",0.49
"Chính sách thăng tiến và phát triển nghề nghiệp được xây dựng minh bạch, dựa trên năng lực và hiệu suất công việc.",0.85
"Số liệu thống kê về các vụ tai nạn lao động và các biện pháp khắc phục chưa được công khai định kỳ.",0.44
"Công ty đã triển khai chương trình hỗ trợ tư vấn tâm lý và sức khỏe tinh thần miễn phí cho nhân viên.",0.78
"Điều kiện làm việc và cơ sở vật chất hỗ trợ cho người khuyết tật tại nơi làm việc còn nhiều hạn chế.",0.32
"Chương trình hỗ trợ đào tạo kỹ thuật và tay nghề cho phụ nữ ở các vùng nông thôn đã được triển khai hiệu quả.",0.89
"Chỉ số đo lường mức độ hài lòng của khách hàng về sản phẩm và dịch vụ chưa được theo dõi thường xuyên.",0.51
"Công ty phối hợp với chính quyền địa phương tổ chức các buổi hội thảo về an toàn giao thông cho cộng đồng dân cư.",0.82
"Quy trình tiếp nhận và xử lý các phàn nàn, khiếu nại của khách hàng về chất lượng sản phẩm chưa rõ ràng.",0.42
"Công tác đào tạo và diễn tập phòng chống cháy nổ, cứu hộ cứu nạn được tổ chức thường xuyên cho nhân viên tại xưởng.",0.77
"Chương trình khuyến khích nhân viên đóng góp ý kiến cải tiến quy trình và sản phẩm chưa thực sự hiệu quả.",0.47
"Chính sách hỗ trợ chi phí gửi trẻ và chăm sóc con nhỏ cho nhân viên nữ đang được xem xét triển khai.",0.81
"Hội đồng quản trị của công ty có 65% thành viên là các chuyên gia độc lập, không điều hành.",0.83
"Báo cáo của ủy ban kiểm toán nội bộ về các hoạt động tài chính chưa được công bố cho cổ đông.",0.33
"Công ty đã ban hành và áp dụng chính sách phòng chống tham nhũng và hối lộ một cách nghiêm ngặt trong toàn hệ thống.",0.88
"Cơ chế ẩn danh để báo cáo các hành vi gian lận tài chính hoặc vi phạm đạo đức kinh doanh nội bộ chưa được thiết lập.",0.23
"Báo cáo tài chính hàng năm của công ty được kiểm toán bởi một trong bốn công ty kiểm toán lớn nhất (Big 4).",0.93
"Các quy định cụ thể về trách nhiệm xã hội của doanh nghiệp (CSR) chưa được tích hợp vào điều lệ chính thức của công ty.",0.43
"Công ty đã đăng ký và tuân thủ đầy đủ các quy định của GDPR về bảo vệ dữ liệu cá nhân của khách hàng châu Âu.",0.81
"Chính sách quản lý và giải quyết xung đột lợi ích giữa các thành viên HĐQT và ban điều hành chưa rõ ràng.",0.39
"Chính sách lương thưởng và các khoản bồi thường khác cho ban lãnh đạo cấp cao được công bố minh bạch trong báo cáo thường niên.",0.82
"Cơ chế đánh giá hiệu quả hoạt động và mức độ hoàn thành nhiệm vụ của Hội đồng quản trị chưa được thiết lập định kỳ.",0.31
"Công ty đã công bố kế hoạch kế nhiệm chi tiết cho các vị trí lãnh đạo chủ chốt trong vòng 5 năm tới.",0.86
"Việc phân tách quyền lực và trách nhiệm giữa vị trí Chủ tịch Hội đồng quản trị và Tổng Giám đốc chưa thực sự rõ ràng.",0.48
"Ban kiểm soát của công ty hoạt động độc lập, có thực quyền và thường xuyên báo cáo trực tiếp cho Đại hội đồng cổ đông.",0.83
"Chính sách và các biện pháp cụ thể nhằm phòng chống rửa tiền và tài trợ khủng bố chưa được ban hành.",0.41
"Các mục tiêu về lợi nhuận kinh doanh và các chỉ tiêu ESG được đặt ra một cách minh bạch và có thể đo lường được.",0.84
"Thông tin chi tiết về cơ cấu quỹ lương thưởng dành cho ban lãnh đạo và các quản lý cấp cao không được công bố.",0.32
"Hệ thống kiểm soát rủi ro tài chính và phi tài chính của công ty được rà soát và cập nhật hàng năm bởi một đơn vị độc lập.",0.79
"Lộ trình công bố chi tiết về mức lương, thưởng và các lợi ích khác của từng thành viên ban lãnh đạo chưa được xác định.",0.38
"Công ty đã áp dụng và được chứng nhận tuân thủ tiêu chuẩn ISO 37001 về hệ thống quản lý chống hối lộ.",0.92
"Một ủy ban độc lập chuyên trách giám sát các vấn đề liên quan đến Môi trường, Xã hội và Quản trị (ESG) chưa được thành lập.",0.44
"Báo cáo thường niên của công ty được công bố đầy đủ, chi tiết, đúng thời hạn và dễ dàng truy cập cho mọi cổ đông.",0.87
"Quy trình phê duyệt các khoản chi tiêu lớn và các giao dịch quan trọng còn thiếu sự minh bạch và kiểm soát chéo.",0.47
"Cả Hội đồng quản trị và Ban Giám đốc đều có sự tham gia của ít nhất 30% thành viên nữ.",0.82
"Chính sách bảo vệ quyền lợi của các cổ đông nhỏ lẻ và cổ đông thiểu số chưa được quy định rõ ràng.",0.34
"Hoạt động quản trị công ty được đánh giá định kỳ bởi một tổ chức tư vấn độc lập có uy tín trên thị trường.",0.89
"Chiến lược phát triển bền vững dài hạn của công ty, bao gồm các mục tiêu ESG cụ thể, chưa được công bố rộng rãi.",0.42
"Công ty tăng cường minh bạch thông tin với cổ đông thông qua việc tổ chức các buổi họp trực tuyến và trả lời câu hỏi định kỳ.",0.85
"Bộ quy tắc đạo đức kinh doanh và ứng xử nghề nghiệp cho toàn thể nhân viên chưa được xây dựng và truyền thông hiệu quả.",0.33
"Báo cáo Phát triển Bền vững (ESG) của công ty được lập theo chuẩn mực của Global Reporting Initiative (GRI Standards).",0.94
"Các chỉ số cụ thể để đánh giá mức độ tuân thủ pháp luật và các quy định nội bộ chưa được thiết lập và theo dõi.",0.41
"Thành viên ban kiểm toán nội bộ được tham gia các khóa đào tạo chuyên sâu về kiểm toán và quản trị rủi ro.",0.83
"Chính sách bảo mật thông tin khách hàng và đối tác chưa được rà soát và cập nhật theo các tiêu chuẩn mới nhất.",0.37
"Công ty chủ động cập nhật và tuân thủ các thay đổi trong quy định pháp lý liên quan đến hoạt động kinh doanh.",0.88
"Doanh nghiệp đầu tư vào công nghệ xanh giúp giảm 20% lượng khí thải carbon.",0.70
"Chính sách phúc lợi cho người lao động được cải thiện đáng kể trong năm qua.",0.80
"Tỷ lệ tái chế chất thải rắn đạt 60%, vượt mục tiêu đề ra.",0.75
"Chưa có chương trình hành động cụ thể để ứng phó với biến đổi khí hậu.",0.30
"Ban lãnh đạo cam kết tăng cường tính minh bạch trong các hoạt động tài chính.",0.85
"Nguồn cung ứng nguyên liệu chưa đảm bảo hoàn toàn các tiêu chuẩn về lao động.",0.40
"Công ty triển khai dự án năng lượng mặt trời áp mái tại tất cả các nhà xưởng.",0.90
"Chưa có đánh giá tác động môi trường cho dự án mở rộng sản xuất mới.",0.35
"Tỷ lệ nữ giới trong các vị trí quản lý cấp cao tăng lên 35%.",0.78
"Quy trình xử lý khiếu nại của nhân viên còn chậm và chưa hiệu quả.",0.45
"Doanh nghiệp đạt chứng nhận 'Nơi làm việc tốt nhất châu Á'.",0.92
"Chưa có biện pháp giảm thiểu việc sử dụng nước ngầm trong sản xuất.",0.38
"Công ty công khai báo cáo về lượng nước tiêu thụ và các biện pháp tiết kiệm.",0.72
"Rủi ro về an toàn dữ liệu khách hàng chưa được kiểm soát chặt chẽ.",0.42
"Đầu tư vào nghiên cứu và phát triển các sản phẩm bền vững tăng 25%.",0.81
"Chưa có đối thoại thường xuyên với các bên liên quan về vấn đề ESG.",0.36
"Chương trình 'Không rác thải nhựa' được triển khai tại tất cả văn phòng.",0.88
"Chất lượng không khí tại khu vực sản xuất chưa được giám sát liên tục.",0.40
"Công ty hỗ trợ 100 suất học bổng cho học sinh nghèo vượt khó.",0.91
"Chưa có chính sách rõ ràng về việc sử dụng lao động thời vụ.",0.39
"Tỷ lệ nghỉ việc của nhân viên giảm 10% so với năm trước.",0.77
"Chưa có cam kết loại bỏ hoàn toàn hóa chất độc hại trong sản phẩm.",0.29
"Doanh nghiệp tham gia sáng kiến toàn cầu về giảm phát thải nhựa.",0.86
"Ngân sách cho các hoạt động cộng đồng tăng 15% trong năm nay.",0.79
"Chưa có quy trình kiểm toán độc lập về chuỗi cung ứng.",0.44
"Công ty xây dựng nhà máy xử lý nước thải hiện đại với công suất lớn.",0.89
"Chưa có kế hoạch cụ thể để giảm sự phụ thuộc vào nhiên liệu hóa thạch.",0.37
"Chương trình đào tạo về đa dạng và hòa nhập được tổ chức cho toàn bộ nhân viên.",0.84
"Chưa có mục tiêu cụ thể về giảm thiểu rác thải thực phẩm tại nhà ăn.",0.41
"Công ty đạt giải thưởng 'Doanh nghiệp vì cộng đồng' cấp quốc gia.",0.93
"Chính sách về quyền riêng tư của nhân viên chưa được cập nhật đầy đủ.",0.35
"Tỷ lệ sử dụng năng lượng tái tạo trong tổng năng lượng tiêu thụ đạt 40%.",0.76
"Chưa có đánh giá về rủi ro liên quan đến nước trong hoạt động kinh doanh.",0.43
"Công ty thiết lập đường dây nóng ẩn danh để báo cáo các vi phạm đạo đức.",0.82
"Chưa có chương trình hỗ trợ nhà cung cấp địa phương nâng cao năng lực ESG.",0.38
"Doanh nghiệp thực hiện kiểm kê khí nhà kính theo tiêu chuẩn quốc tế.",0.87
"Chưa có chính sách khuyến khích sử dụng phương tiện giao thông công cộng cho nhân viên.",0.40
"Tỷ lệ nhân viên được đào tạo về các vấn đề ESG đạt 90%.",0.85
"Chưa có báo cáo về tác động của biến đổi khí hậu lên hoạt động kinh doanh.",0.39
"Công ty đầu tư vào hệ thống quản lý năng lượng thông minh.",0.80
"Chưa có cam kết về việc không thử nghiệm sản phẩm trên động vật.",0.30
"Doanh nghiệp được xếp hạng cao trong các chỉ số bền vững uy tín.",0.90
"Chưa có chính sách hỗ trợ nhân viên bị ảnh hưởng bởi tự động hóa.",0.42
"Công ty công bố lộ trình đạt phát thải ròng bằng không vào năm 2050.",0.92
"Chưa có đánh giá về mức độ hài lòng của các nhà cung cấp.",0.40
"Chương trình phát triển tài năng trẻ thu hút nhiều ứng viên chất lượng.",0.83
"Chưa có quy định về việc tái sử dụng hoặc tái chế thiết bị điện tử cũ.",0.37
"Công ty tăng cường hợp tác với các tổ chức NGO về các dự án môi trường.",0.81
"Chưa có cơ chế giám sát việc tuân thủ các tiêu chuẩn lao động của nhà thầu phụ.",0.44
"Doanh nghiệp áp dụng các biện pháp canh tác bền vững trong chuỗi cung ứng nông sản.",0.88
"Chưa có báo cáo về đa dạng sinh học tại các khu vực hoạt động.",0.36
"Công ty triển khai hệ thống quản lý chất thải nguy hại theo tiêu chuẩn quốc tế.",0.86
"Chưa có chính sách hỗ trợ các doanh nghiệp do phụ nữ làm chủ trong chuỗi cung ứng.",0.41
"Tỷ lệ giữ chân nhân tài đạt mức cao trong ngành.",0.84
"Chưa có chương trình cụ thể để giảm thiểu ô nhiễm ánh sáng từ các cơ sở.",0.39
"Công ty đầu tư vào công nghệ thu giữ carbon tại các nhà máy lớn.",0.78
"Chưa có đánh giá về tác động xã hội của các sản phẩm và dịch vụ.",0.43
"Chương trình 'Văn phòng xanh' giúp giảm đáng kể lượng tài nguyên tiêu thụ.",0.85
"Chưa có mục tiêu về giảm thiểu tiếng ồn ảnh hưởng đến cộng đồng xung quanh.",0.38
"Doanh nghiệp minh bạch hóa thông tin về nguồn gốc nguyên liệu sản phẩm.",0.89
"Chưa có chính sách ưu tiên mua sắm các sản phẩm và dịch vụ bền vững.",0.40
"Công ty hỗ trợ các dự án bảo tồn nguồn nước sạch tại địa phương.",0.87
"Chưa có chương trình đánh giá và cải thiện điều kiện làm việc của lao động nhập cư.",0.42
"Tỷ lệ tai nạn lao động giảm xuống mức thấp nhất trong 5 năm qua.",0.91
"Chưa có cam kết về việc sử dụng 100% bao bì tái chế hoặc tái sử dụng được.",0.37
"Công ty tổ chức các chiến dịch nâng cao nhận thức về ESG cho khách hàng.",0.80
"Chưa có đánh giá rủi ro về nhân quyền trong toàn bộ chuỗi giá trị.",0.45
"Doanh nghiệp xây dựng văn hóa doanh nghiệp dựa trên sự tôn trọng và tin cậy.",0.86
"Chưa có chính sách hỗ trợ chuyển đổi nghề nghiệp cho người lao động bị ảnh hưởng bởi cơ cấu lại.",0.39
"Công ty đạt được chứng nhận về quản lý rừng bền vững cho nguồn cung gỗ.",0.90
"Công ty đã giảm 20% lượng khí thải CO2 so với năm trước.",0.70
"Tỷ lệ sử dụng năng lượng tái tạo trong sản xuất đạt 45%.",0.65
"Doanh nghiệp tổ chức trồng 1000 cây xanh để cải thiện chất lượng không khí.",0.60
"Hệ thống tái chế nước thải được áp dụng trong toàn bộ quy trình sản xuất.",0.75
"Nhà máy sử dụng bộ lọc bụi với hiệu suất 95% để hạn chế ô nhiễm.",0.85
"Công ty thực hiện đo lường định kỳ nồng độ các chất độc hại trong khí thải.",0.80
"Dự án năng lượng mặt trời đã cung cấp 30% nhu cầu điện cho nhà máy.",0.70
"Tổng lượng chất thải rắn được tái chế chiếm 60% tổng phát sinh.",0.60
"Quy trình quản lý hóa chất nguy hại tuân thủ quy định quốc gia.",0.90
"Doanh nghiệp giảm tiêu thụ nước tới 15% qua các biện pháp tiết kiệm.",0.65
"Công ty áp dụng công nghệ sản xuất xanh, giảm 30% tiêu thụ năng lượng.",0.70
"Nhà máy lắp đặt hệ thống xử lý khí thải NOx và SOx.",0.80
"Chương trình trồng rừng bù đắp phát thải carbon được triển khai.",0.60
"Công ty tham gia sáng kiến 'Zero Waste to Landfill'.",0.55
"Cơ sở sản xuất sử dụng vật liệu thân thiện môi trường thay thế nhựa.",0.75
"Báo cáo môi trường hàng năm được công khai minh bạch trên website.",0.85
"Doanh nghiệp đạt chứng nhận ISO 14001 về hệ thống quản lý môi trường.",0.90
"Tỷ lệ phát thải khí nhà kính giảm 25% so với mục tiêu đặt ra.",0.70
"Công ty theo dõi mức độ ô nhiễm nước dưới sông Tiền hàng tháng.",0.65
"Nhà máy sử dụng điện thu từ nguồn gió với công suất 2MW.",0.60
"Hệ thống chiếu sáng LED tiết kiệm 40% năng lượng điện.",0.70
"Lượng phát thải bụi trên 10mg/Nm3 luôn được kiểm soát chặt chẽ.",0.80
"Doanh nghiệp hợp tác với tổ chức phi chính phủ giảm tác động môi trường.",0.55
"Công ty lắp đặt hệ thống quan trắc tự động để giám sát khí thải.",0.85
"Vật liệu đóng gói có thể tái sử dụng hoặc tái chế hoàn toàn.",0.75
"Nhà máy giảm sử dụng hóa chất VOC trong quá trình sản xuất.",0.65
"Nghiên cứu và phát triển sản phẩm thân thiện môi trường được đầu tư.",0.60
"Kho vận tiết kiệm tối đa 20% năng lượng nhờ tối ưu hóa quá trình.",0.70
"Công ty hợp tác với cộng đồng xử lý rác thải công nghiệp.",0.55
"Các loại dầu nhờn thải được thu hồi và tái chế 100%.",0.80
"Doanh nghiệp sử dụng hệ thống làm mát thân thiện môi trường R290.",0.70
"Nhà máy giảm 50% tiêu thụ nước uống đóng chai bằng hệ thống lọc.",0.60
"Công ty áp dụng đánh giá vòng đời sản phẩm để giảm tác động môi trường.",0.75
"Dự án sấy khô sử dụng năng lượng mặt trời giảm tiêu thụ gas.",0.65
"Công ty đã xây dựng hồ chứa nước mưa phục vụ sản xuất.",0.60
"Các tiêu chí xanh được tích hợp trong lựa chọn nhà thầu.",0.80
"Doanh nghiệp triển khai chương trình '3R' (Reduce, Reuse, Recycle).",0.70
"Nhà máy có hệ thống thông gió tự nhiên giảm sử dụng điều hòa.",0.65
"Tỷ lệ phát thải CO2 đầu người giảm xuống còn 1,2 tấn.",0.70
"Công ty trồng và bảo vệ cây xanh tại khuôn viên nhà máy.",0.60
"Phát triển sản phẩm sinh học phân hủy thay thế nhựa.",0.80
"Quy trình xử lý bùn thải được tối ưu hóa để giảm mùi.",0.75
"Chương trình giám sát chất lượng không khí trong nhà máy.",0.85
"Tất cả xe vận chuyển nội bộ sử dụng nhiên liệu sạch.",0.65
"Công ty thực hiện đánh giá môi trường chiến lược trước các dự án.",0.90
"Nhà máy sử dụng sơn thân thiện môi trường không chứa VOC.",0.70
"Doanh nghiệp tham gia chương trình bảo tồn đa dạng sinh học.",0.60
"Quy trình sản xuất không phát sinh nước thải nguy hại.",0.80
"Hệ thống xử lý chất thải rắn nội bộ đạt chuẩn.",0.85
"Công ty công bố kế hoạch trung hòa carbon đến năm 2030.",0.90
"Tỷ lệ nữ giới trong ban giám đốc đạt 40%.",0.70
"Doanh nghiệp tổ chức đào tạo kỹ năng cho 200 nhân viên hàng năm.",0.80
"Công ty đảm bảo mức lương tối thiểu cao hơn quy định.",0.85
"Chương trình chăm sóc sức khỏe định kỳ cho nhân viên được thực hiện.",0.75
"Tỷ lệ thay đổi nhân sự nội bộ dưới 10%.",0.60
"Doanh nghiệp xây dựng chính sách linh hoạt giờ làm việc.",0.70
"Công ty cam kết không phân biệt đối xử với người khuyết tật.",0.90
"Đào tạo nhân viên về phòng chống quấy rối và an toàn lao động.",0.80
"Chính sách bảo đảm quyền lợi nghỉ thai sản cho nhân viên nữ.",0.85
"Tỷ lệ nhân viên tham gia hiệp hội công đoàn lên tới 95%.",0.65
"Công ty hỗ trợ chi phí học tập cho nhân viên.",0.80
"Doanh nghiệp thường xuyên khảo sát mức độ hài lòng nhân viên.",0.70
"Tỷ lệ tai nạn lao động giảm 20% so với năm trước.",0.75
"Chương trình hỗ trợ nhân viên có hoàn cảnh khó khăn được triển khai.",0.85
"Doanh nghiệp không có trường hợp vi phạm giờ làm thêm.",0.60
"Công ty thực hiện kiểm tra y tế chuyên sâu cho lao động trẻ.",0.70
"Giảm khoảng cách lương giữa các vị trí quản lý và nhân viên.",0.65
"Chính sách nghỉ phép linh hoạt để cân bằng công việc và cuộc sống.",0.80
"Tổ chức khóa học nâng cao nhận thức về an toàn lao động.",0.75
"Công ty đảm bảo điều kiện làm việc phù hợp cho người khuyết tật.",0.90
"Đào tạo kỹ năng mềm cho nhân viên mới gia nhập.",0.70
"Chính sách thưởng dài hạn gắn với hiệu suất công việc.",0.80
"Tỷ lệ thăng tiến nội bộ lên đến 30% mỗi năm.",0.60
"Hỗ trợ tư vấn tâm lý và sức khỏe tinh thần cho nhân viên.",0.85
"Đảm bảo bình đẳng cơ hội cho mọi cấp độ nhân viên.",0.90
"Công ty có quy trình khiếu nại minh bạch và không trả đũa.",0.75
"Tổ chức các hoạt động teambuilding định kỳ.",0.70
"Chính sách làm việc từ xa được áp dụng linh hoạt.",0.80
"Công ty cung cấp chế độ bảo hiểm sức khỏe toàn diện.",0.90
"Đánh giá hiệu suất công bằng dựa trên KPIs rõ ràng.",0.85
"Doanh nghiệp không sử dụng lao động vị thành niên.",0.70
"Công ty cam kết loại bỏ lao động cưỡng bức trong chuỗi cung ứng.",0.90
"Tỷ lệ ứng viên nữ được tuyển dụng chiếm 50%.",0.75
"Các chính sách bảo vệ quyền lợi lao động được công khai.",0.80
"Doanh nghiệp hỗ trợ cơ sở vật chất cho phụ nữ mang thai.",0.65
"Chương trình nâng cao kỹ năng lãnh đạo cho nhân viên trẻ.",0.70
"Công ty đánh giá tâm lý định kỳ cho các vị trí áp lực cao.",0.80
"Đảm bảo lương thưởng minh bạch và đúng hạn.",0.85
"Doanh nghiệp thực hiện đánh giá tác động xã hội hàng năm.",0.75
"Hỗ trợ chi phí học nghề cho cộng đồng địa phương.",0.60
"Công ty tham gia chương trình cộng đồng tình nguyện.",0.70
"Đảm bảo điều kiện làm việc an toàn cho nhân viên ca đêm.",0.80
"Tỷ lệ nhân viên duy trì công việc trên 5 năm đạt 20%.",0.65
"Doanh nghiệp áp dụng chính sách trả lương công bằng giữa các giới.",0.90
"Chính sách lương thưởng phản ánh giá trị đóng góp.",0.85
"Tổ chức đào tạo về đa dạng và hòa nhập.",0.80
"Hỗ trợ phát triển nghề nghiệp cá nhân cho nhân viên.",0.75
"Công ty không ghi nhận trường hợp quấy rối tình dục trong công sở.",0.90
"Đánh giá sự hài lòng của khách hàng nội bộ đạt 4.5/5.",0.80
"Công ty tiến hành đối thoại xã hội với đại diện người lao động.",0.85
"Ban lãnh đạo doanh nghiệp bao gồm 40% thành viên độc lập.",0.80
"Tỷ lệ nữ giới trong hội đồng quản trị đạt 30%.",0.70
"Công ty có cơ cấu thưởng gắn với hiệu quả hoạt động ESG.",0.85
"Báo cáo tài chính được kiểm toán độc lập hàng năm.",0.90
"Doanh nghiệp công bố chính sách chống tham nhũng rõ ràng.",0.80
"Tất cả giao dịch với bên liên quan được công khai minh bạch.",0.75
"Hội đồng quản trị họp định kỳ với tỷ lệ tham dự 95%.",0.70
"Chính sách bảo mật dữ liệu khách hàng tuân thủ GDPR.",0.90
"Doanh nghiệp áp dụng quy trình quản lý rủi ro hiệu quả.",0.80
"Tất cả hợp đồng quan trọng phải có sự chấp thuận của ủy ban kiểm toán.",0.85
"Quy định về đạo đức kinh doanh được cập nhật thường xuyên.",0.80
"Công ty thực hiện đánh giá hiệu quả hoạt động Hội đồng quản trị.",0.75
"Doanh nghiệp kết hợp đánh giá bên ngoài và nội bộ.",0.70
"Chính sách chống rửa tiền được áp dụng trong toàn tập đoàn.",0.90
"Cơ chế tố giác sai phạm bảo đảm ẩn danh và bảo vệ người tố cáo.",0.85
"Tỷ lệ tham gia của cổ đông trong đại hội đồng đạt 60%.",0.70
"Báo cáo thường niên cung cấp thông tin ESG chi tiết.",0.85
"Công ty tuân thủ quy định về quan hệ với cổ đông đến mức tối đa.",0.80
